idade,genero,etnia,pcd,vive_no_brasil,estado_moradia,nivel_ensino,formacao,tempo_experiencia_dados,linguagens_preferidas,bancos_de_dados,cloud_preferida,cargo
39,Masculino,Parda,Não,TRUE,Distrito Federal (DF),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 1 a 2 anos,R,"PostgreSQL, Oracle, MySQL, SQL SERVER",Amazon Web Services (AWS),DBA/Administrador de Banco de Dados
32,Masculino,Parda,Não,TRUE,Pará (PA),Graduação/Bacharelado,Outras Engenharias,de 3 a 4 anos,,,,
53,Masculino,Branca,Não,TRUE,Distrito Federal (DF),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 3 a 4 anos,Python,"PostgreSQL, MySQL, Oracle, DB2",Amazon Web Services (AWS),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
27,Masculino,Branca,Não,TRUE,Minas Gerais (MG),Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de 4 a 6 anos,Python,Google BigQuery,Não sei opinar,Cientista de Dados/Data Scientist
46,Feminino,Branca,Não,TRUE,Pará (PA),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Não tenho experiência na área de dados,Python,Microsoft Access,Amazon Web Services (AWS),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
32,Feminino,Parda,Não,TRUE,Ceará (CE),Pós-graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Não tenho experiência na área de dados,Python,Google BigQuery,Google Cloud (GCP),Professor
21,Masculino,Parda,Não,TRUE,São Paulo (SP),Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de 1 a 2 anos,Python,SQL SERVER,Não sei opinar,Analista de BI/BI Analyst
31,Feminino,Branca,Não,TRUE,Rio Grande do Sul (RS),Graduação/Bacharelado,Ciências Sociais,Menos de 1 ano,Python,"PostgreSQL, SQLite, Amazon Athena",Amazon Web Services (AWS),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
33,Masculino,Branca,Não,TRUE,São Paulo (SP),Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Menos de 1 ano,Python,Google BigQuery,Google Cloud (GCP),Analista de BI/BI Analyst
,Feminino,Parda,Não,TRUE,Bahia (BA),Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Mais de 10 anos,R,SQL SERVER,Google Cloud (GCP),Professor
25,Feminino,Parda,Não,TRUE,Rio de Janeiro (RJ),Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Menos de 1 ano,Python,SQL SERVER,Não sei opinar,Analista de BI/BI Analyst
33,Masculino,Branca,Não,TRUE,Rio Grande do Sul (RS),Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,de 1 a 2 anos,Python,"MySQL, PostgreSQL, SQL SERVER",Azure (Microsoft),Analista de Inteligência de Mercado/Market Intelligence
31,Masculino,Branca,Não,TRUE,São Paulo (SP),Doutorado ou Phd,Outras Engenharias,,,,,
24,Masculino,Amarela,Não,TRUE,Mato Grosso do Sul (MS),Graduação/Bacharelado,Outras Engenharias,de 1 a 2 anos,Python,"SQL SERVER, Hive, PostgreSQL, Splunk, Databricks",Azure (Microsoft),Analista de Negócios/Business Analyst
35,Feminino,Parda,Não,TRUE,São Paulo (SP),Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,de 1 a 2 anos,Python,SQL SERVER,Google Cloud (GCP),Analista de Negócios/Business Analyst
28,Masculino,Branca,Não,TRUE,São Paulo (SP),Graduação/Bacharelado,Outras Engenharias,de 3 a 4 anos,Python,"MySQL, Oracle, Google BigQuery",Google Cloud (GCP),Analista de BI/BI Analyst
31,Masculino,Parda,Não,TRUE,Paraíba (PB),Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de 1 a 2 anos,,,,
29,Masculino,Branca,Não,TRUE,Mato Grosso (MT),Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de 7 a 10 anos,,,,
28,Masculino,Branca,Não,TRUE,Minas Gerais (MG),Graduação/Bacharelado,Outras Engenharias,Menos de 1 ano,Python,"Oracle, MongoDB, PostgreSQL, Databricks, Hive",Amazon Web Services (AWS),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
26,Feminino,Branca,Não,TRUE,São Paulo (SP),Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,de 3 a 4 anos,Python,Google BigQuery,Google Cloud (GCP),Analista de Dados/Data Analyst
37,Masculino,Branca,Não,TRUE,São Paulo (SP),Pós-graduação,Outras Engenharias,de 4 a 6 anos,,,,
33,Masculino,Branca,Não,TRUE,São Paulo (SP),Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,de 7 a 10 anos,,,,
26,Masculino,Branca,Não,TRUE,Paraná (PR),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 1 a 2 anos,Python,"Google BigQuery, DynamoDB",Google Cloud (GCP),Product Manager/ Product Owner (PM/APM/DPM/GPM/PO)
46,Feminino,Branca,Não,TRUE,Rio de Janeiro (RJ),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Mais de 10 anos,Python,"MongoDB, DB2, Databricks, Microsoft Access, SQL SERVER, MariaDB, Oracle, MySQL",Azure (Microsoft),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
34,Masculino,Parda,Não,TRUE,São Paulo (SP),Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Mais de 10 anos,,,,
27,Feminino,Parda,Não,TRUE,Minas Gerais (MG),Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de 3 a 4 anos,Python,"Amazon Athena, Amazon Redshift, Databricks, MySQL, S3",Amazon Web Services (AWS),Cientista de Dados/Data Scientist
25,Feminino,Parda,Não,TRUE,São Paulo (SP),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Não tenho experiência na área de dados,Python,SQL SERVER,Não sei opinar,Outra Opção
27,Feminino,Preta,Não,TRUE,Espírito Santo (ES),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 1 a 2 anos,Python,"PostgreSQL, SQL SERVER, SQLite",Google Cloud (GCP),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
24,Feminino,Parda,Não,TRUE,Minas Gerais (MG),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,,,
25,Masculino,Branca,Não,TRUE,São Paulo (SP),Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,de 1 a 2 anos,Python,"Google BigQuery, Google Cloud Storage",Amazon Web Services (AWS),Cientista de Dados/Data Scientist
